onset	dur	cue	target	high	low	hit	miss	high_hit	high_miss	low_hit	low_miss
2.01113	1.00000	1.00000	0.00000	0.00000	1.00000	1.00000	0.00000	0.00000	0.00000	1.00000	0.00000
11.43729	1.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	0.00000	0.00000
18.85878	1.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	0.00000	0.00000
36.78736	1.00000	1.00000	0.00000	1.00000	0.00000	0.00000	1.00000	0.00000	1.00000	0.00000	0.00000
50.40978	1.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	0.00000	0.00000
57.93356	1.00000	1.00000	0.00000	1.00000	0.00000	0.00000	1.00000	0.00000	1.00000	0.00000	0.00000
69.45348	1.00000	1.00000	0.00000	0.00000	1.00000	1.00000	0.00000	0.00000	0.00000	1.00000	0.00000
78.37315	1.00000	1.00000	0.00000	0.00000	1.00000	0.00000	1.00000	0.00000	0.00000	0.00000	1.00000
86.39167	1.00000	1.00000	0.00000	1.00000	0.00000	0.00000	1.00000	0.00000	1.00000	0.00000	0.00000
95.50987	1.00000	1.00000	0.00000	0.00000	1.00000	1.00000	0.00000	0.00000	0.00000	1.00000	0.00000
106.13154	1.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	0.00000	0.00000
126.15563	1.00000	1.00000	0.00000	1.00000	0.00000	0.00000	1.00000	0.00000	1.00000	0.00000	0.00000
149.07920	1.00000	1.00000	0.00000	0.00000	1.00000	1.00000	0.00000	0.00000	0.00000	1.00000	0.00000
158.69740	1.00000	1.00000	0.00000	1.00000	0.00000	0.00000	1.00000	0.00000	1.00000	0.00000	0.00000
170.81817	1.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	0.00000	0.00000
184.83885	1.00000	1.00000	0.00000	0.00000	1.00000	1.00000	0.00000	0.00000	0.00000	1.00000	0.00000
205.46142	1.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	0.00000	0.00000
215.87906	1.00000	1.00000	0.00000	1.00000	0.00000	0.00000	1.00000	0.00000	1.00000	0.00000	0.00000
224.39752	1.00000	1.00000	0.00000	0.00000	1.00000	0.00000	1.00000	0.00000	0.00000	0.00000	1.00000
242.81859	1.00000	1.00000	0.00000	0.00000	1.00000	1.00000	0.00000	0.00000	0.00000	1.00000	0.00000
251.73748	1.00000	1.00000	0.00000	0.00000	1.00000	1.00000	0.00000	0.00000	0.00000	1.00000	0.00000
266.35799	1.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	0.00000	0.00000
298.78089	1.00000	1.00000	0.00000	0.00000	1.00000	1.00000	0.00000	0.00000	0.00000	1.00000	0.00000
314.30231	1.00000	1.00000	0.00000	0.00000	1.00000	1.00000	0.00000	0.00000	0.00000	1.00000	0.00000
334.82521	1.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	1.00000	0.00000	0.00000	0.00000
