onset	dur	dec	out	ev	lik	rpe
4.76538	0.55224	1.00000	0.00000	-0.37136	-0.05551	0.00000
19.01246	0.72031	1.00000	0.00000	-0.37136	-0.05551	0.00000
27.26433	0.86317	1.00000	0.00000	0.21561	0.24048	0.00000
37.51406	0.45638	1.00000	0.00000	-0.12892	0.08148	0.00000
45.76629	0.64830	1.00000	0.00000	-0.37136	-0.11331	0.00000
60.01597	1.44279	1.00000	0.00000	-0.37136	-0.11331	0.00000
70.26617	0.46318	1.00000	0.00000	0.21561	0.20018	0.00000
78.51688	0.71245	1.00000	0.00000	0.45805	0.28891	0.00000
86.76750	0.99898	1.00000	0.00000	-0.02879	0.08148	0.00000
97.01725	0.66595	1.00000	0.00000	0.35710	0.25562	0.00000
105.26669	0.92360	1.00000	0.00000	-0.07048	0.05883	0.00000
117.51769	0.46671	1.00000	0.00000	-0.27123	-0.06950	0.00000
127.76766	0.80444	1.00000	0.00000	0.25697	0.20747	0.00000
138.01766	1.36057	1.00000	0.00000	0.47513	0.28675	0.00000
146.26866	1.32652	1.00000	0.00000	0.56523	0.31257	0.00000
156.51814	0.47194	1.00000	0.00000	0.60245	0.32215	0.00000
168.76795	1.12424	1.00000	0.00000	0.03086	0.10030	0.00000
183.01831	1.07765	1.00000	0.00000	-0.24709	-0.07976	0.00000
191.26786	0.45028	1.00000	0.00000	-0.20523	0.01067	0.00000
199.51829	1.19657	1.00000	0.00000	-0.32003	-0.35794	0.00000
224.01920	0.47652	1.00000	0.00000	-0.35016	-0.36878	0.00000
232.26890	0.53424	1.00000	0.00000	-0.36260	-0.37312	0.00000
242.51921	0.47484	1.00000	0.00000	0.21923	-0.09313	0.00000
252.76919	1.02878	1.00000	0.00000	0.45954	0.04477	0.00000
263.01923	1.03330	1.00000	0.00000	-0.02817	-0.22912	0.00000
273.26972	0.95188	1.00000	0.00000	0.35736	-0.01321	0.00000
283.51988	0.53078	1.00000	0.00000	0.28422	0.13925	0.00000
291.76978	0.44779	1.00000	0.00000	-0.07038	-0.03800	0.00000
302.02022	0.86738	1.00000	0.00000	-0.10058	0.02861	0.00000
310.27047	0.83226	1.00000	0.00000	-0.25952	-0.06274	0.00000
336.77071	0.45187	1.00000	0.00000	-0.32517	-0.10069	0.00000
345.02061	0.80697	1.00000	0.00000	-0.24704	0.00521	0.00000
353.27198	0.39447	1.00000	0.00000	0.26695	0.25237	0.00000
365.52127	0.49701	1.00000	0.00000	0.47925	0.31759	0.00000
12.50628	1.75000	0.00000	1.00000	0.00000	0.00000	-0.04531
22.75810	1.75000	0.00000	1.00000	0.00000	0.00000	0.95469
31.00930	1.75000	0.00000	1.00000	0.00000	0.00000	-0.63228
41.25980	1.75000	0.00000	1.00000	0.00000	0.00000	-0.28774
53.51382	1.75000	0.00000	1.00000	0.00000	0.00000	-0.04531
65.76242	1.75000	0.00000	1.00000	0.00000	0.00000	0.95469
74.01270	1.75000	0.00000	1.00000	0.00000	0.00000	0.36772
82.26356	1.75000	0.00000	1.00000	0.00000	0.00000	-0.87471
90.51280	1.75000	0.00000	1.00000	0.00000	0.00000	0.61212
100.76407	1.75000	0.00000	1.00000	0.00000	0.00000	-0.77377
109.01356	1.75000	0.00000	1.00000	0.00000	0.00000	-0.34618
121.26360	1.75000	0.00000	1.00000	0.00000	0.00000	0.85456
133.51379	1.75000	0.00000	1.00000	0.00000	0.00000	0.32637
141.76334	1.75000	0.00000	1.00000	0.00000	0.00000	0.10821
150.01352	1.75000	0.00000	1.00000	0.00000	0.00000	0.01810
160.26400	1.75000	0.00000	1.00000	0.00000	0.00000	-1.01912
174.51384	1.75000	0.00000	1.00000	0.00000	0.00000	-0.44752
186.76407	1.75000	0.00000	1.00000	0.00000	0.00000	-0.16958
195.01426	1.75000	0.00000	1.00000	0.00000	0.00000	0.78857
205.26455	1.75000	0.00000	1.00000	0.00000	0.00000	-0.09664
0.00000	1.75000	0.00000	1.00000	0.00000	0.00000	-0.04531
227.76536	1.75000	0.00000	1.00000	0.00000	0.00000	-0.06651
236.01497	1.75000	0.00000	1.00000	0.00000	0.00000	0.94594
248.26531	1.75000	0.00000	1.00000	0.00000	0.00000	0.36411
258.51552	1.75000	0.00000	1.00000	0.00000	0.00000	-0.87621
268.76552	1.75000	0.00000	1.00000	0.00000	0.00000	0.61151
277.01593	1.75000	0.00000	1.00000	0.00000	0.00000	-0.77402
287.26582	1.75000	0.00000	1.00000	0.00000	0.00000	-0.70089
297.51593	1.75000	0.00000	1.00000	0.00000	0.00000	-0.34629
305.76620	1.75000	0.00000	1.00000	0.00000	0.00000	-0.31608
316.01627	1.75000	0.00000	1.00000	0.00000	0.00000	-0.15715
0.00000	1.75000	0.00000	1.00000	0.00000	0.00000	-0.04531
340.51684	1.75000	0.00000	1.00000	0.00000	0.00000	-0.09150
348.76690	1.75000	0.00000	1.00000	0.00000	0.00000	0.83038
359.01727	1.75000	0.00000	1.00000	0.00000	0.00000	0.31638
369.26728	1.75000	0.00000	1.00000	0.00000	0.00000	0.10408
