onset	dur	dec	out	ev	lik	rpe
4.75843	0.68355	1.00000	0.00000	0.22325	0.24337	0.00000
17.00799	0.82164	1.00000	0.00000	0.30806	0.25419	0.00000
29.25838	0.74568	1.00000	0.00000	0.36069	0.25906	0.00000
41.50834	0.88235	1.00000	0.00000	0.39335	0.26153	0.00000
51.75851	0.95756	1.00000	0.00000	-0.47531	-0.64562	0.00000
64.00885	0.73291	1.00000	0.00000	-0.50488	-0.65534	0.00000
72.25913	0.82164	1.00000	0.00000	0.03415	-0.02079	0.00000
80.50913	0.97993	1.00000	0.00000	0.19072	0.11099	0.00000
92.75920	0.68458	1.00000	0.00000	0.28788	0.16618	0.00000
101.00912	0.54507	1.00000	0.00000	0.34817	0.19168	0.00000
109.25922	0.79346	1.00000	0.00000	0.38558	0.20469	0.00000
121.50970	0.61990	1.00000	0.00000	0.40879	0.21180	0.00000
129.75957	0.70931	1.00000	0.00000	0.42320	0.21588	0.00000
140.00984	0.70426	1.00000	0.00000	0.43214	0.21829	0.00000
148.26044	0.50044	1.00000	0.00000	0.05822	0.00296	0.00000
158.51015	0.44651	1.00000	0.00000	0.20566	0.12073	0.00000
168.76039	0.76826	1.00000	0.00000	0.29714	0.17050	0.00000
183.01069	0.73408	1.00000	0.00000	0.35392	0.19381	0.00000
195.26045	0.90553	1.00000	0.00000	-0.14377	-0.40149	0.00000
203.51073	0.91021	1.00000	0.00000	0.00968	0.09313	0.00000
211.76073	0.74022	1.00000	0.00000	-0.29915	-0.33709	0.00000
220.01102	0.61661	1.00000	0.00000	-0.20393	-0.00710	0.00000
230.26136	0.52348	1.00000	0.00000	0.04298	0.16941	0.00000
238.51155	0.70620	1.00000	0.00000	-0.18326	0.01277	0.00000
246.76150	0.58359	1.00000	0.00000	-0.39557	-0.31000	0.00000
259.01155	0.68559	1.00000	0.00000	-0.32366	-0.06949	0.00000
269.26163	0.60351	1.00000	0.00000	-0.03131	0.16254	0.00000
277.51204	0.75671	1.00000	0.00000	-0.22937	0.02547	0.00000
287.76229	0.54547	1.00000	0.00000	0.02720	0.18812	0.00000
300.01241	0.70535	1.00000	0.00000	-0.19306	0.05704	0.00000
308.26250	0.74647	1.00000	0.00000	0.04973	0.19650	0.00000
316.51249	0.76825	1.00000	0.00000	-0.45540	-0.51601	0.00000
330.76295	0.52307	1.00000	0.00000	-0.17908	0.09646	0.00000
343.01288	0.67987	1.00000	0.00000	-0.32106	-0.02735	0.00000
353.26328	1.04133	1.00000	0.00000	-0.49253	-0.32339	0.00000
363.51340	0.72847	1.00000	0.00000	-0.40917	-0.51340	0.00000
10.50407	1.75000	0.00000	1.00000	0.00000	0.00000	0.24898
24.75420	1.75000	0.00000	1.00000	0.00000	0.00000	0.16416
33.00436	1.75000	0.00000	1.00000	0.00000	0.00000	0.11153
47.25448	1.75000	0.00000	1.00000	0.00000	0.00000	-0.92113
57.50479	1.75000	0.00000	1.00000	0.00000	0.00000	-0.05247
67.75484	1.75000	0.00000	1.00000	0.00000	0.00000	0.97710
76.00484	1.75000	0.00000	1.00000	0.00000	0.00000	0.43807
88.25513	1.75000	0.00000	1.00000	0.00000	0.00000	0.28150
96.50524	1.75000	0.00000	1.00000	0.00000	0.00000	0.18435
104.75534	1.75000	0.00000	1.00000	0.00000	0.00000	0.12406
115.00544	1.75000	0.00000	1.00000	0.00000	0.00000	0.08665
125.25579	1.75000	0.00000	1.00000	0.00000	0.00000	0.06343
133.50569	1.75000	0.00000	1.00000	0.00000	0.00000	0.04902
143.75604	1.75000	0.00000	1.00000	0.00000	0.00000	-0.95992
152.00613	1.75000	0.00000	1.00000	0.00000	0.00000	0.41400
162.25615	1.75000	0.00000	1.00000	0.00000	0.00000	0.26657
176.50790	1.75000	0.00000	1.00000	0.00000	0.00000	0.17508
188.75648	1.75000	0.00000	1.00000	0.00000	0.00000	-0.88169
199.00681	1.75000	0.00000	1.00000	0.00000	0.00000	-0.38401
207.25667	1.75000	0.00000	1.00000	0.00000	0.00000	-0.53746
215.50695	1.75000	0.00000	1.00000	0.00000	0.00000	-0.22863
223.75717	1.75000	0.00000	1.00000	0.00000	0.00000	0.67615
234.00731	1.75000	0.00000	1.00000	0.00000	0.00000	-0.57076
242.25756	1.75000	0.00000	1.00000	0.00000	0.00000	-0.34451
250.50762	1.75000	0.00000	1.00000	0.00000	0.00000	-0.13221
264.75759	1.75000	0.00000	1.00000	0.00000	0.00000	0.79588
273.00796	1.75000	0.00000	1.00000	0.00000	0.00000	-0.49646
283.25804	1.75000	0.00000	1.00000	0.00000	0.00000	0.70159
295.50812	1.75000	0.00000	1.00000	0.00000	0.00000	-0.55497
303.75813	1.75000	0.00000	1.00000	0.00000	0.00000	0.66528
312.00831	1.75000	0.00000	1.00000	0.00000	0.00000	-0.57751
322.25860	1.75000	0.00000	1.00000	0.00000	0.00000	-0.07238
334.50899	1.75000	0.00000	1.00000	0.00000	0.00000	-0.34870
348.75894	1.75000	0.00000	1.00000	0.00000	0.00000	-0.20672
357.00918	1.75000	0.00000	1.00000	0.00000	0.00000	0.96475
369.25927	1.75000	0.00000	1.00000	0.00000	0.00000	-0.11861
