onset	dur	dec	out	ev	lik	rpe
4.76588	0.72511	1.00000	0.00000	-0.48434	-0.18177	0.00000
13.01359	0.64518	1.00000	0.00000	-0.48434	-0.18177	0.00000
23.26311	0.52855	1.00000	0.00000	-0.48434	-0.59424	0.00000
35.51327	1.35726	1.00000	0.00000	0.13362	-0.18177	0.00000
47.76666	1.16587	1.00000	0.00000	0.36971	0.02827	0.00000
58.01644	1.04788	1.00000	0.00000	-0.15807	-0.43325	0.00000
68.26724	0.92730	1.00000	0.00000	0.13362	0.18485	0.00000
78.51684	1.31184	1.00000	0.00000	-0.35969	-0.28590	0.00000
86.76728	0.64602	1.00000	0.00000	0.18124	0.15430	0.00000
95.01715	0.62239	1.00000	0.00000	-0.23006	-0.16452	0.00000
105.26756	0.48108	1.00000	0.00000	0.23077	0.17846	0.00000
115.51725	0.52385	1.00000	0.00000	-0.21115	-0.14663	0.00000
123.76729	0.62893	1.00000	0.00000	0.23799	0.18172	0.00000
136.01779	0.63595	1.00000	0.00000	0.40958	0.24206	0.00000
152.26881	0.73738	1.00000	0.00000	0.47513	0.25781	0.00000
160.51813	0.57686	1.00000	0.00000	0.50018	0.26299	0.00000
170.76815	0.74348	1.00000	0.00000	-0.10822	-0.05200	0.00000
187.01857	0.62650	1.00000	0.00000	-0.24826	-0.09503	0.00000
199.26873	0.64038	1.00000	0.00000	0.22382	0.21308	0.00000
209.51857	1.11251	1.00000	0.00000	0.40416	0.26227	0.00000
217.76889	0.72320	1.00000	0.00000	-0.14490	-0.00421	0.00000
228.01900	0.80086	1.00000	0.00000	0.26330	0.22637	0.00000
240.26906	0.90515	1.00000	0.00000	-0.19872	-0.05032	0.00000
248.51945	0.66746	1.00000	0.00000	-0.34065	-0.14903	0.00000
256.76921	0.93282	1.00000	0.00000	-0.37522	-0.13052	0.00000
267.01942	0.71968	1.00000	0.00000	0.17531	0.22662	0.00000
275.26949	0.55433	1.00000	0.00000	0.38563	0.27479	0.00000
285.51962	0.92053	1.00000	0.00000	0.46598	0.28584	0.00000
293.76983	0.55102	1.00000	0.00000	0.49668	0.28929	0.00000
304.02075	0.80206	1.00000	0.00000	-0.10956	0.08915	0.00000
314.27061	1.14016	1.00000	0.00000	-0.42945	-0.26472	0.00000
324.52067	1.21991	1.00000	0.00000	-0.34116	-0.06790	0.00000
334.77059	0.66812	1.00000	0.00000	-0.46337	-0.21371	0.00000
349.02107	0.70301	1.00000	0.00000	0.14164	0.21549	0.00000
357.27125	0.80750	1.00000	0.00000	0.37277	0.27275	0.00000
365.52137	1.35023	1.00000	0.00000	-0.42964	-0.64881	0.00000
8.50633	1.75000	0.00000	1.00000	0.00000	0.00000	-0.04344
18.75804	1.75000	0.00000	1.00000	0.00000	0.00000	0.95656
29.00920	1.75000	0.00000	1.00000	0.00000	0.00000	0.95656
39.25952	1.75000	0.00000	1.00000	0.00000	0.00000	0.33860
51.51385	1.75000	0.00000	1.00000	0.00000	0.00000	-0.89749
61.76228	1.75000	0.00000	1.00000	0.00000	0.00000	-0.36971
74.01280	1.75000	0.00000	1.00000	0.00000	0.00000	-0.66140
82.26279	1.75000	0.00000	1.00000	0.00000	0.00000	0.83191
90.51334	1.75000	0.00000	1.00000	0.00000	0.00000	-0.70902
100.76341	1.75000	0.00000	1.00000	0.00000	0.00000	0.70229
109.01335	1.75000	0.00000	1.00000	0.00000	0.00000	-0.75854
119.26321	1.75000	0.00000	1.00000	0.00000	0.00000	0.68337
127.51350	1.75000	0.00000	1.00000	0.00000	0.00000	0.23423
143.76373	1.75000	0.00000	1.00000	0.00000	0.00000	0.06264
156.01392	1.75000	0.00000	1.00000	0.00000	0.00000	-0.00291
166.26416	1.75000	0.00000	1.00000	0.00000	0.00000	-1.02795
178.51421	1.75000	0.00000	1.00000	0.00000	0.00000	-0.41956
192.76443	1.75000	0.00000	1.00000	0.00000	0.00000	0.72048
205.01457	1.75000	0.00000	1.00000	0.00000	0.00000	0.24841
213.26481	1.75000	0.00000	1.00000	0.00000	0.00000	-0.93194
221.51471	1.75000	0.00000	1.00000	0.00000	0.00000	0.61712
235.76509	1.75000	0.00000	1.00000	0.00000	0.00000	-0.79108
244.01513	1.75000	0.00000	1.00000	0.00000	0.00000	-0.32906
252.26535	1.75000	0.00000	1.00000	0.00000	0.00000	-0.18713
262.51540	1.75000	0.00000	1.00000	0.00000	0.00000	0.84744
270.76566	1.75000	0.00000	1.00000	0.00000	0.00000	0.29691
279.01563	1.75000	0.00000	1.00000	0.00000	0.00000	0.08659
289.26582	1.75000	0.00000	1.00000	0.00000	0.00000	0.00624
297.51594	1.75000	0.00000	1.00000	0.00000	0.00000	-1.02446
307.76623	1.75000	0.00000	1.00000	0.00000	0.00000	-0.41822
320.01658	1.75000	0.00000	1.00000	0.00000	0.00000	-0.09833
330.26645	1.75000	0.00000	1.00000	0.00000	0.00000	-0.18662
342.51666	1.75000	0.00000	1.00000	0.00000	0.00000	0.93559
352.76692	1.75000	0.00000	1.00000	0.00000	0.00000	0.33059
361.01701	1.75000	0.00000	1.00000	0.00000	0.00000	0.09945
369.26733	1.75000	0.00000	1.00000	0.00000	0.00000	-0.09814
