onset	dur	dec	out	ev	lik	rpe
4.76590	0.70454	1.00000	0.00000	0.59414	0.32429	0.00000
13.01271	0.62771	1.00000	0.00000	-0.33037	-0.43089	0.00000
25.26458	0.85752	1.00000	0.00000	0.27468	0.08532	0.00000
33.51373	0.66120	1.00000	0.00000	0.50583	0.22115	0.00000
43.76783	0.86226	1.00000	0.00000	-0.02383	-0.17855	0.00000
54.01769	0.90626	1.00000	0.00000	0.00991	0.06344	0.00000
62.26728	0.98282	1.00000	0.00000	-0.22618	-0.15882	0.00000
72.51855	1.06550	1.00000	0.00000	-0.21329	-0.06189	0.00000
80.76768	0.68741	1.00000	0.00000	0.31941	0.26735	0.00000
93.01841	0.50760	1.00000	0.00000	-0.09505	0.04138	0.00000
103.26847	1.13530	1.00000	0.00000	-0.30348	-0.19397	0.00000
121.76892	0.70104	1.00000	0.00000	-0.25338	-0.07165	0.00000
130.01885	0.93797	1.00000	0.00000	-0.33301	-0.16474	0.00000
138.26918	0.78471	1.00000	0.00000	-0.31388	-0.11778	0.00000
150.51929	0.57141	1.00000	0.00000	0.28098	0.26806	0.00000
158.76923	1.09992	1.00000	0.00000	0.50824	0.31550	0.00000
173.02027	0.57949	1.00000	0.00000	-0.02291	0.12532	0.00000
187.26963	0.86493	1.00000	0.00000	-0.34430	-0.25710	0.00000
197.51963	0.68383	1.00000	0.00000	0.26936	0.22083	0.00000
205.77002	0.87304	1.00000	0.00000	-0.11417	-0.04226	0.00000
214.02027	1.12528	1.00000	0.00000	0.35728	0.25472	0.00000
222.27017	0.73570	1.00000	0.00000	-0.08058	-0.01224	0.00000
232.52042	0.55611	1.00000	0.00000	-0.22583	-0.12572	0.00000
242.77051	1.10605	1.00000	0.00000	-0.30335	-0.19903	0.00000
257.02100	0.48849	1.00000	0.00000	-0.24786	-0.06658	0.00000
267.27091	0.84344	1.00000	0.00000	0.30620	0.27209	0.00000
281.52141	0.51698	1.00000	0.00000	-0.10009	0.06092	0.00000
293.77171	0.79557	1.00000	0.00000	0.36265	0.28672	0.00000
304.02208	0.62057	1.00000	0.00000	-0.07853	0.07756	0.00000
318.27174	1.34697	1.00000	0.00000	-0.33296	-0.22734	0.00000
328.52197	1.19445	1.00000	0.00000	0.27369	0.23160	0.00000
336.77207	0.91034	1.00000	0.00000	-0.24707	-0.27151	0.00000
345.02229	1.17024	1.00000	0.00000	-0.31146	-0.32680	0.00000
355.27285	0.88427	1.00000	0.00000	0.28190	0.17041	0.00000
363.52205	0.96705	1.00000	0.00000	0.50859	0.26682	0.00000
8.50681	1.75000	0.00000	1.00000	0.00000	0.00000	-0.95525
16.75856	1.75000	0.00000	1.00000	0.00000	0.00000	0.96926
29.00951	1.75000	0.00000	1.00000	0.00000	0.00000	0.36421
37.26043	1.75000	0.00000	1.00000	0.00000	0.00000	-0.86694
49.51444	1.75000	0.00000	1.00000	0.00000	0.00000	-0.33728
57.76343	1.75000	0.00000	1.00000	0.00000	0.00000	-0.37102
68.01455	1.75000	0.00000	1.00000	0.00000	0.00000	-0.13493
76.26383	1.75000	0.00000	1.00000	0.00000	0.00000	0.85218
88.51395	1.75000	0.00000	1.00000	0.00000	0.00000	-0.68052
96.76407	1.75000	0.00000	1.00000	0.00000	0.00000	-0.26606
107.01403	1.75000	0.00000	1.00000	0.00000	0.00000	-0.05763
0.00000	1.75000	0.00000	1.00000	0.00000	0.00000	-0.00984
125.51517	1.75000	0.00000	1.00000	0.00000	0.00000	-0.10773
133.76510	1.75000	0.00000	1.00000	0.00000	0.00000	-0.02810
144.01534	1.75000	0.00000	1.00000	0.00000	0.00000	0.95276
154.26625	1.75000	0.00000	1.00000	0.00000	0.00000	0.35791
166.51544	1.75000	0.00000	1.00000	0.00000	0.00000	-0.86935
180.76575	1.75000	0.00000	1.00000	0.00000	0.00000	-0.33820
193.01572	1.75000	0.00000	1.00000	0.00000	0.00000	0.98318
201.26585	1.75000	0.00000	1.00000	0.00000	0.00000	-0.63047
209.51611	1.75000	0.00000	1.00000	0.00000	0.00000	0.75306
217.76608	1.75000	0.00000	1.00000	0.00000	0.00000	-0.71839
228.01631	1.75000	0.00000	1.00000	0.00000	0.00000	-0.28053
238.26649	1.75000	0.00000	1.00000	0.00000	0.00000	-0.13529
248.51663	1.75000	0.00000	1.00000	0.00000	0.00000	-0.05776
260.76680	1.75000	0.00000	1.00000	0.00000	0.00000	0.88675
273.01770	1.75000	0.00000	1.00000	0.00000	0.00000	-0.66731
289.26779	1.75000	0.00000	1.00000	0.00000	0.00000	0.73898
297.51764	1.75000	0.00000	1.00000	0.00000	0.00000	-0.72376
309.76771	1.75000	0.00000	1.00000	0.00000	0.00000	-0.28258
324.01783	1.75000	0.00000	1.00000	0.00000	0.00000	0.97185
332.26777	1.75000	0.00000	1.00000	0.00000	0.00000	-0.63480
340.51784	1.75000	0.00000	1.00000	0.00000	0.00000	-0.11404
348.76800	1.75000	0.00000	1.00000	0.00000	0.00000	0.95035
359.01815	1.75000	0.00000	1.00000	0.00000	0.00000	0.35699
367.26822	1.75000	0.00000	1.00000	0.00000	0.00000	0.13030
