onset	dur	dec	out	ev	lik	rpe
4.76702	0.75377	1.00000	0.00000	-0.49301	-0.20570	0.00000
19.01244	0.65427	1.00000	0.00000	-0.49301	-0.20570	0.00000
27.26422	1.11752	1.00000	0.00000	-0.49301	-0.56838	0.00000
35.51370	0.90510	1.00000	0.00000	-0.11355	-0.20570	0.00000
43.76657	0.68492	1.00000	0.00000	0.12193	0.05206	0.00000
52.01675	0.79391	1.00000	0.00000	0.26804	0.15821	0.00000
62.26636	0.82791	1.00000	0.00000	0.35872	0.20212	0.00000
72.51703	0.86865	1.00000	0.00000	0.41498	0.22253	0.00000
84.76675	0.49681	1.00000	0.00000	0.44990	0.23301	0.00000
97.01660	0.66202	1.00000	0.00000	0.47156	0.23878	0.00000
109.26731	0.77831	1.00000	0.00000	0.10554	0.03720	0.00000
121.51725	0.77110	1.00000	0.00000	0.25788	0.15231	0.00000
129.76715	1.19844	1.00000	0.00000	0.35241	0.19953	0.00000
140.01808	0.58829	1.00000	0.00000	0.41107	0.22126	0.00000
150.26762	0.70702	1.00000	0.00000	0.44747	0.23233	0.00000
162.51771	0.73277	1.00000	0.00000	0.47005	0.23839	0.00000
174.76795	0.83958	1.00000	0.00000	0.48407	0.24187	0.00000
183.01810	0.80621	1.00000	0.00000	0.49277	0.24392	0.00000
191.26835	0.60093	1.00000	0.00000	0.11870	0.04918	0.00000
199.51827	0.84522	1.00000	0.00000	-0.11355	-0.20585	0.00000
209.76841	1.03210	1.00000	0.00000	-0.11342	-0.03796	0.00000
218.01884	0.59881	1.00000	0.00000	-0.25754	-0.20579	0.00000
228.26882	0.61579	1.00000	0.00000	-0.34689	-0.31231	0.00000
240.51901	0.79939	1.00000	0.00000	-0.25746	-0.03714	0.00000
250.76942	0.90341	1.00000	0.00000	0.03262	0.18584	0.00000
259.01898	0.82427	1.00000	0.00000	-0.16684	0.05209	0.00000
267.26928	0.66510	1.00000	0.00000	-0.40234	-0.33777	0.00000
275.51969	0.64663	1.00000	0.00000	-0.05728	0.05015	0.00000
285.76954	1.17006	1.00000	0.00000	-0.29061	-0.28727	0.00000
294.01978	0.60079	1.00000	0.00000	-0.22262	-0.03724	0.00000
306.26993	0.93758	1.00000	0.00000	-0.32523	-0.15479	0.00000
320.52041	0.61221	1.00000	0.00000	-0.36741	-0.17971	0.00000
328.77027	1.05404	1.00000	0.00000	-0.38889	-0.17404	0.00000
341.02049	0.56473	1.00000	0.00000	-0.42840	-0.22183	0.00000
353.27054	0.82877	1.00000	0.00000	-0.07345	0.13380	0.00000
365.52085	0.63047	1.00000	0.00000	0.14680	0.23257	0.00000
10.50630	1.75000	0.00000	1.00000	0.00000	0.00000	-0.06255
22.75829	1.75000	0.00000	1.00000	0.00000	0.00000	0.93745
31.00890	1.75000	0.00000	1.00000	0.00000	0.00000	0.93745
39.25977	1.75000	0.00000	1.00000	0.00000	0.00000	0.55799
47.51400	1.75000	0.00000	1.00000	0.00000	0.00000	0.32252
55.76253	1.75000	0.00000	1.00000	0.00000	0.00000	0.17640
68.01237	1.75000	0.00000	1.00000	0.00000	0.00000	0.08573
78.26250	1.75000	0.00000	1.00000	0.00000	0.00000	0.02946
92.51308	1.75000	0.00000	1.00000	0.00000	0.00000	-0.00545
100.76301	1.75000	0.00000	1.00000	0.00000	0.00000	-1.02712
115.01288	1.75000	0.00000	1.00000	0.00000	0.00000	0.33890
125.26317	1.75000	0.00000	1.00000	0.00000	0.00000	0.18657
133.51323	1.75000	0.00000	1.00000	0.00000	0.00000	0.09204
143.76369	1.75000	0.00000	1.00000	0.00000	0.00000	0.03338
156.01368	1.75000	0.00000	1.00000	0.00000	0.00000	-0.00302
168.26384	1.75000	0.00000	1.00000	0.00000	0.00000	-0.02561
178.51392	1.75000	0.00000	1.00000	0.00000	0.00000	-0.03963
186.76404	1.75000	0.00000	1.00000	0.00000	0.00000	-1.04832
195.01429	1.75000	0.00000	1.00000	0.00000	0.00000	-0.67426
203.26565	1.75000	0.00000	1.00000	0.00000	0.00000	-0.44201
213.51453	1.75000	0.00000	1.00000	0.00000	0.00000	-0.44213
223.76469	1.75000	0.00000	1.00000	0.00000	0.00000	-0.29802
232.01492	1.75000	0.00000	1.00000	0.00000	0.00000	-0.20866
246.26514	1.75000	0.00000	1.00000	0.00000	0.00000	0.70191
254.51517	1.75000	0.00000	1.00000	0.00000	0.00000	-0.58818
262.76524	1.75000	0.00000	1.00000	0.00000	0.00000	-0.38872
271.01544	1.75000	0.00000	1.00000	0.00000	0.00000	0.84678
279.26545	1.75000	0.00000	1.00000	0.00000	0.00000	-0.49828
289.51572	1.75000	0.00000	1.00000	0.00000	0.00000	-0.26495
301.76599	1.75000	0.00000	1.00000	0.00000	0.00000	-0.33293
312.01613	1.75000	0.00000	1.00000	0.00000	0.00000	-0.23033
324.26635	1.75000	0.00000	1.00000	0.00000	0.00000	-0.18814
334.51640	1.75000	0.00000	1.00000	0.00000	0.00000	-0.16666
348.76652	1.75000	0.00000	1.00000	0.00000	0.00000	0.87285
361.01675	1.75000	0.00000	1.00000	0.00000	0.00000	0.51790
369.26681	1.75000	0.00000	1.00000	0.00000	0.00000	0.29764
