onset	dur	dec	out	ev	lik	rpe
4.76767	0.89988	1.00000	0.00000	-0.49907	-0.24510	0.00000
15.01412	0.77928	1.00000	0.00000	0.46872	0.24961	0.00000
29.26348	0.64576	1.00000	0.00000	-0.46791	-0.20304	0.00000
39.51350	0.65024	1.00000	0.00000	-0.49907	-0.24646	0.00000
49.76665	0.53904	1.00000	0.00000	0.46872	0.24958	0.00000
60.01648	0.41615	1.00000	0.00000	0.49989	0.25040	0.00000
72.26638	0.69527	1.00000	0.00000	0.50089	0.25042	0.00000
82.51701	1.16052	1.00000	0.00000	0.50092	0.25043	0.00000
92.76665	0.64673	1.00000	0.00000	-0.46687	-0.20300	0.00000
103.01734	0.69725	1.00000	0.00000	-0.49804	-0.24505	0.00000
113.26780	0.93646	1.00000	0.00000	-0.49807	-0.24379	0.00000
121.51713	1.31308	1.00000	0.00000	-0.49904	-0.24510	0.00000
129.76761	0.90461	1.00000	0.00000	-0.49904	-0.24506	0.00000
142.01792	0.93975	1.00000	0.00000	0.46872	0.24961	0.00000
154.26778	0.69468	1.00000	0.00000	-0.49907	-0.28715	0.00000
162.51771	0.70902	1.00000	0.00000	0.46872	0.24864	0.00000
176.76800	0.69532	1.00000	0.00000	0.49989	0.24961	0.00000
185.01855	0.66874	1.00000	0.00000	-0.46690	-0.24374	0.00000
195.26824	0.76021	1.00000	0.00000	0.46975	0.24868	0.00000
203.51833	0.93190	1.00000	0.00000	0.49992	0.24961	0.00000
211.76843	0.75622	1.00000	0.00000	-0.46690	-0.24374	0.00000
224.01890	0.87462	1.00000	0.00000	-0.49804	-0.28576	0.00000
234.26864	0.65857	1.00000	0.00000	-0.49904	-0.28711	0.00000
242.51896	0.44923	1.00000	0.00000	0.46872	0.24864	0.00000
250.76903	0.89636	1.00000	0.00000	-0.46791	-0.24510	0.00000
261.01921	0.52455	1.00000	0.00000	-0.46791	-0.20439	0.00000
273.26975	0.79786	1.00000	0.00000	0.46972	0.24961	0.00000
283.51960	0.55073	1.00000	0.00000	0.49992	0.25040	0.00000
291.76961	0.64606	1.00000	0.00000	0.50089	0.25042	0.00000
300.01957	0.89907	1.00000	0.00000	-0.49807	-0.28720	0.00000
308.26962	0.60916	1.00000	0.00000	0.46875	0.24861	0.00000
320.52006	0.83716	1.00000	0.00000	0.49989	0.24958	0.00000
332.77022	0.56737	1.00000	0.00000	0.50089	0.24961	0.00000
341.02074	0.81445	1.00000	0.00000	0.50092	0.24961	0.00000
351.27248	0.58886	1.00000	0.00000	-0.46687	-0.24510	0.00000
361.52290	0.69826	1.00000	0.00000	-0.49804	-0.28716	0.00000
8.50622	1.75000	0.00000	1.00000	0.00000	0.00000	0.99907
22.75823	1.75000	0.00000	1.00000	0.00000	0.00000	-0.96872
35.00910	1.75000	0.00000	1.00000	0.00000	0.00000	-0.03209
45.26084	1.75000	0.00000	1.00000	0.00000	0.00000	0.99907
55.51322	1.75000	0.00000	1.00000	0.00000	0.00000	0.03128
65.76241	1.75000	0.00000	1.00000	0.00000	0.00000	0.00011
78.01383	1.75000	0.00000	1.00000	0.00000	0.00000	-0.00089
88.26353	1.75000	0.00000	1.00000	0.00000	0.00000	-1.00092
96.51301	1.75000	0.00000	1.00000	0.00000	0.00000	-0.03313
106.76335	1.75000	0.00000	1.00000	0.00000	0.00000	-0.00196
117.01304	1.75000	0.00000	1.00000	0.00000	0.00000	-0.00193
125.26308	1.75000	0.00000	1.00000	0.00000	0.00000	-0.00096
135.51332	1.75000	0.00000	1.00000	0.00000	0.00000	0.99904
145.76342	1.75000	0.00000	1.00000	0.00000	0.00000	-0.96872
158.01355	1.75000	0.00000	1.00000	0.00000	0.00000	0.99907
168.26401	1.75000	0.00000	1.00000	0.00000	0.00000	0.03128
180.51406	1.75000	0.00000	1.00000	0.00000	0.00000	-0.99989
190.76440	1.75000	0.00000	1.00000	0.00000	0.00000	0.96690
199.01421	1.75000	0.00000	1.00000	0.00000	0.00000	0.03025
207.26436	1.75000	0.00000	1.00000	0.00000	0.00000	-0.99992
219.51447	1.75000	0.00000	1.00000	0.00000	0.00000	-0.03310
229.76455	1.75000	0.00000	1.00000	0.00000	0.00000	-0.00196
238.01469	1.75000	0.00000	1.00000	0.00000	0.00000	0.99904
246.26488	1.75000	0.00000	1.00000	0.00000	0.00000	-0.96872
254.51511	1.75000	0.00000	1.00000	0.00000	0.00000	-0.03209
264.76529	1.75000	0.00000	1.00000	0.00000	0.00000	0.96791
277.01531	1.75000	0.00000	1.00000	0.00000	0.00000	0.03028
287.26555	1.75000	0.00000	1.00000	0.00000	0.00000	0.00008
295.51557	1.75000	0.00000	1.00000	0.00000	0.00000	-1.00089
303.76581	1.75000	0.00000	1.00000	0.00000	0.00000	0.99807
316.01591	1.75000	0.00000	1.00000	0.00000	0.00000	0.03125
328.26604	1.75000	0.00000	1.00000	0.00000	0.00000	0.00011
336.51635	1.75000	0.00000	1.00000	0.00000	0.00000	-0.00089
344.76685	1.75000	0.00000	1.00000	0.00000	0.00000	-1.00092
355.01837	1.75000	0.00000	1.00000	0.00000	0.00000	-0.03313
365.26642	1.75000	0.00000	1.00000	0.00000	0.00000	-0.00196
