onset	dur	dec	out	ev	lik	rpe
4.76791	0.68508	1.00000	0.00000	-0.38643	-0.03537	0.00000
13.01373	1.17379	1.00000	0.00000	-0.38643	-0.03537	0.00000
23.26352	1.33783	1.00000	0.00000	-0.38643	-0.03537	0.00000
31.51383	0.73646	1.00000	0.00000	-0.38643	-0.33911	0.00000
39.76742	1.51294	1.00000	0.00000	-0.38643	-0.33911	0.00000
52.01700	0.95150	1.00000	0.00000	0.35150	-0.03537	0.00000
64.26702	1.05149	1.00000	0.00000	0.54489	0.05595	0.00000
72.51771	0.81144	1.00000	0.00000	0.35150	0.18444	0.00000
80.76720	0.99358	1.00000	0.00000	-0.14237	-0.32338	0.00000
91.01795	0.89739	1.00000	0.00000	0.41546	-0.09688	0.00000
101.26746	0.83117	1.00000	0.00000	0.54489	-0.04338	0.00000
109.51778	1.25554	1.00000	0.00000	0.56165	0.25794	0.00000
121.76792	0.85131	1.00000	0.00000	-0.14237	-0.03747	0.00000
132.01834	1.72483	1.00000	0.00000	-0.13798	0.05184	0.00000
144.26904	0.86553	1.00000	0.00000	-0.32132	-0.03482	0.00000
152.51844	1.58808	1.00000	0.00000	-0.32247	-0.01299	0.00000
160.76866	0.66169	1.00000	0.00000	0.36826	0.26827	0.00000
169.01872	1.25695	1.00000	0.00000	-0.18866	0.05009	0.00000
183.26879	0.91164	1.00000	0.00000	0.40333	0.27863	0.00000
191.51887	0.70267	1.00000	0.00000	0.55847	0.31941	0.00000
201.76900	0.90272	1.00000	0.00000	-0.13881	0.07300	0.00000
212.01918	0.84923	1.00000	0.00000	0.41640	0.28238	0.00000
220.26937	1.16855	1.00000	0.00000	-0.17604	0.05593	0.00000
232.51988	0.75771	1.00000	0.00000	-0.36937	-0.05355	0.00000
244.76969	0.82145	1.00000	0.00000	0.35597	0.25264	0.00000
259.02007	1.02929	1.00000	0.00000	-0.33130	-0.10157	0.00000
267.26980	0.74253	1.00000	0.00000	-0.19188	0.04981	0.00000
279.51991	0.62161	1.00000	0.00000	0.40249	0.27914	0.00000
293.77039	0.94974	1.00000	0.00000	-0.37199	-0.12620	0.00000
312.27183	0.54947	1.00000	0.00000	0.35529	0.20000	0.00000
326.52108	0.81032	1.00000	0.00000	-0.17969	-0.02947	0.00000
334.77087	0.70854	1.00000	0.00000	0.40568	0.22266	0.00000
345.02113	1.32855	1.00000	0.00000	-0.19206	-0.04168	0.00000
353.27150	1.37974	1.00000	0.00000	-0.17885	-0.28760	0.00000
365.52143	1.20824	1.00000	0.00000	-0.33203	-0.33806	0.00000
8.50664	1.75000	0.00000	1.00000	0.00000	0.00000	-0.05801
18.75815	1.75000	0.00000	1.00000	0.00000	0.00000	-0.05801
27.00929	1.75000	0.00000	1.00000	0.00000	0.00000	0.94199
35.26059	1.75000	0.00000	1.00000	0.00000	0.00000	-0.05801
45.51459	1.75000	0.00000	1.00000	0.00000	0.00000	0.94199
57.76302	1.75000	0.00000	1.00000	0.00000	0.00000	0.20405
68.01312	1.75000	0.00000	1.00000	0.00000	0.00000	-0.98933
76.26308	1.75000	0.00000	1.00000	0.00000	0.00000	0.20405
86.51444	1.75000	0.00000	1.00000	0.00000	0.00000	0.69792
94.76336	1.75000	0.00000	1.00000	0.00000	0.00000	0.14009
105.01434	1.75000	0.00000	1.00000	0.00000	0.00000	-0.98933
115.26387	1.75000	0.00000	1.00000	0.00000	0.00000	-1.00609
125.51365	1.75000	0.00000	1.00000	0.00000	0.00000	-0.30208
135.76386	1.75000	0.00000	1.00000	0.00000	0.00000	-0.30647
148.01406	1.75000	0.00000	1.00000	0.00000	0.00000	-0.12312
156.26458	1.75000	0.00000	1.00000	0.00000	0.00000	0.87803
164.51458	1.75000	0.00000	1.00000	0.00000	0.00000	-0.81271
174.76461	1.75000	0.00000	1.00000	0.00000	0.00000	0.74421
187.01465	1.75000	0.00000	1.00000	0.00000	0.00000	0.15222
195.26489	1.75000	0.00000	1.00000	0.00000	0.00000	-1.00292
207.51497	1.75000	0.00000	1.00000	0.00000	0.00000	0.69437
215.76519	1.75000	0.00000	1.00000	0.00000	0.00000	-0.86084
228.01564	1.75000	0.00000	1.00000	0.00000	0.00000	-0.26840
236.26563	1.75000	0.00000	1.00000	0.00000	0.00000	0.92493
250.51580	1.75000	0.00000	1.00000	0.00000	0.00000	-0.80042
262.76594	1.75000	0.00000	1.00000	0.00000	0.00000	-0.11315
273.01603	1.75000	0.00000	1.00000	0.00000	0.00000	0.74743
287.26591	1.75000	0.00000	1.00000	0.00000	0.00000	-0.84693
299.51623	1.75000	0.00000	1.00000	0.00000	0.00000	0.92754
0.00000	1.75000	0.00000	1.00000	0.00000	0.00000	-0.05801
320.01755	1.75000	0.00000	1.00000	0.00000	0.00000	-0.79973
330.26690	1.75000	0.00000	1.00000	0.00000	0.00000	0.73524
338.51706	1.75000	0.00000	1.00000	0.00000	0.00000	-0.85013
348.76715	1.75000	0.00000	1.00000	0.00000	0.00000	0.74761
361.01761	1.75000	0.00000	1.00000	0.00000	0.00000	-0.26559
369.26758	1.75000	0.00000	1.00000	0.00000	0.00000	0.88759
