onset	dur	dec	out	ev	lik	rpe
4.75859	0.75624	1.00000	0.00000	0.57215	0.21902	0.00000
13.00823	0.61801	1.00000	0.00000	-0.26175	-0.18291	0.00000
23.25852	0.84686	1.00000	0.00000	-0.23190	-0.06892	0.00000
33.50846	0.79984	1.00000	0.00000	0.42293	0.21405	0.00000
47.75924	0.57135	1.00000	0.00000	-0.39145	-0.57248	0.00000
60.00954	0.92208	1.00000	0.00000	0.54822	0.24789	0.00000
68.25965	0.94588	1.00000	0.00000	0.57219	0.25243	0.00000
78.50973	0.72070	1.00000	0.00000	-0.23189	-0.05447	0.00000
88.76007	0.76455	1.00000	0.00000	-0.38574	-0.14620	0.00000
97.00983	0.77452	1.00000	0.00000	-0.41517	-0.16410	0.00000
109.26008	0.73825	1.00000	0.00000	-0.41627	-0.16200	0.00000
117.51009	0.68037	1.00000	0.00000	-0.42080	-0.16464	0.00000
127.76039	1.24899	1.00000	0.00000	-0.42101	-0.16423	0.00000
136.01047	0.59123	1.00000	0.00000	-0.42188	-0.16474	0.00000
148.26068	1.04891	1.00000	0.00000	0.38658	0.21252	0.00000
160.51075	0.68399	1.00000	0.00000	0.54127	0.24764	0.00000
168.76077	0.60695	1.00000	0.00000	-0.23781	-0.05462	0.00000
177.01106	0.58857	1.00000	0.00000	0.42180	0.22145	0.00000
191.26146	0.63990	1.00000	0.00000	-0.26067	-0.06792	0.00000
201.51134	0.57210	1.00000	0.00000	-0.42192	-0.18341	0.00000
213.76149	0.60821	1.00000	0.00000	0.38657	0.20426	0.00000
224.01147	0.73705	1.00000	0.00000	0.54126	0.24148	0.00000
234.26181	1.35902	1.00000	0.00000	-0.23781	-0.07251	0.00000
246.51194	0.55534	1.00000	0.00000	0.42180	0.21371	0.00000
254.76173	0.55654	1.00000	0.00000	0.54800	0.24287	0.00000
263.01207	0.69328	1.00000	0.00000	-0.39124	-0.25777	0.00000
273.26219	0.72830	1.00000	0.00000	-0.23652	-0.05717	0.00000
283.51261	0.58859	1.00000	0.00000	-0.41623	-0.18276	0.00000
295.76244	0.53821	1.00000	0.00000	0.38766	0.20328	0.00000
312.01282	0.81985	1.00000	0.00000	-0.26720	-0.09263	0.00000
320.26316	0.59420	1.00000	0.00000	0.41618	0.21102	0.00000
328.51302	0.61146	1.00000	0.00000	-0.38662	-0.24014	0.00000
336.76302	0.84172	1.00000	0.00000	-0.26174	-0.07241	0.00000
345.01336	0.54930	1.00000	0.00000	0.41722	0.21869	0.00000
353.26347	0.58917	1.00000	0.00000	0.54713	0.24750	0.00000
363.51353	0.77295	1.00000	0.00000	-0.41534	-0.27174	0.00000
8.50399	1.75000	0.00000	1.00000	0.00000	0.00000	-0.96104
16.75428	1.75000	0.00000	1.00000	0.00000	0.00000	-0.12714
27.00427	1.75000	0.00000	1.00000	0.00000	0.00000	0.84301
39.25466	1.75000	0.00000	1.00000	0.00000	0.00000	0.18818
55.50514	1.75000	0.00000	1.00000	0.00000	0.00000	0.00256
63.75530	1.75000	0.00000	1.00000	0.00000	0.00000	0.06289
74.00546	1.75000	0.00000	1.00000	0.00000	0.00000	-0.96108
82.25553	1.75000	0.00000	1.00000	0.00000	0.00000	-0.15700
92.50595	1.75000	0.00000	1.00000	0.00000	0.00000	-0.00315
102.75578	1.75000	0.00000	1.00000	0.00000	0.00000	0.02628
113.00617	1.75000	0.00000	1.00000	0.00000	0.00000	0.02738
121.25592	1.75000	0.00000	1.00000	0.00000	0.00000	0.03192
131.50636	1.75000	0.00000	1.00000	0.00000	0.00000	0.03212
139.75647	1.75000	0.00000	1.00000	0.00000	0.00000	1.03299
154.00642	1.75000	0.00000	1.00000	0.00000	0.00000	0.22453
164.25691	1.75000	0.00000	1.00000	0.00000	0.00000	-0.93015
172.50805	1.75000	0.00000	1.00000	0.00000	0.00000	0.84892
184.75712	1.75000	0.00000	1.00000	0.00000	0.00000	-0.81069
197.00712	1.75000	0.00000	1.00000	0.00000	0.00000	-0.12822
207.25732	1.75000	0.00000	1.00000	0.00000	0.00000	1.03303
219.50736	1.75000	0.00000	1.00000	0.00000	0.00000	0.22454
227.75778	1.75000	0.00000	1.00000	0.00000	0.00000	-0.93015
238.00778	1.75000	0.00000	1.00000	0.00000	0.00000	0.84892
250.25780	1.75000	0.00000	1.00000	0.00000	0.00000	0.18931
258.50810	1.75000	0.00000	1.00000	0.00000	0.00000	-0.93689
266.75810	1.75000	0.00000	1.00000	0.00000	0.00000	0.00235
279.00844	1.75000	0.00000	1.00000	0.00000	0.00000	-0.15237
291.25830	1.75000	0.00000	1.00000	0.00000	0.00000	1.02734
303.50852	1.75000	0.00000	1.00000	0.00000	0.00000	-0.77655
315.75885	1.75000	0.00000	1.00000	0.00000	0.00000	0.87831
324.00910	1.75000	0.00000	1.00000	0.00000	0.00000	-0.80507
332.25915	1.75000	0.00000	1.00000	0.00000	0.00000	-0.00227
340.50920	1.75000	0.00000	1.00000	0.00000	0.00000	0.87285
348.75924	1.75000	0.00000	1.00000	0.00000	0.00000	0.19389
359.00935	1.75000	0.00000	1.00000	0.00000	0.00000	-0.93602
369.25949	1.75000	0.00000	1.00000	0.00000	0.00000	0.02645
